date,type,merchant,category,amount,balance
26-10-2025,Debited,Swiggy,Food,250,33413
26-10-2025,Debited,Amazon,Shopping,2200,31213
27-10-2025,Debited,Swiggy,Food,250,30963
27-10-2025,Debited,Uber,Transport,120,30843
28-10-2025,Debited,Netflix,Entertainment,299,30544
28-10-2025,Debited,Spotify,Entertainment,299,30245
26-10-2025,Debited,Airtel,Utilities,799,29446
01-11-2025,Credited,Unknown,Others,45000,
03-11-2025,Debited,Rent,Others,12000,62446
04-11-2025,Debited,Swiggy,Food,250,62196
04-11-2025,Debited,Uber,Transport,120,62076
05-11-2025,Debited,Swiggy,Food,250,61826
05-11-2025,Debited,Uber,Transport,120,61706
06-11-2025,Debited,Swiggy,Food,250,61456
06-11-2025,Debited,Uber,Transport,120,61336
07-11-2025,Debited,Swiggy,Food,250,61086
07-11-2025,Debited,Uber,Transport,120,60966
08-11-2025,Debited,Swiggy,Food,250,60716
08-11-2025,Debited,Bigbasket,Food,1800,58916
09-11-2025,Debited,Swiggy,Food,250,58666
09-11-2025,Debited,Amazon,Shopping,2200,56466
10-11-2025,Debited,Swiggy,Food,250,56216
10-11-2025,Debited,Uber,Transport,120,56096
11-11-2025,Debited,Swiggy,Food,250,55846
11-11-2025,Debited,Uber,Transport,120,55726
12-11-2025,Debited,Swiggy,Food,250,55476
12-11-2025,Debited,Uber,Transport,120,55356
13-11-2025,Debited,Swiggy,Food,250,55106
13-11-2025,Debited,Uber,Transport,120,54986
14-11-2025,Debited,Swiggy,Food,250,54736
14-11-2025,Debited,Uber,Transport,120,54616
15-11-2025,Debited,Swiggy,Food,250,54366
15-11-2025,Debited,Bigbasket,Food,1800,52566
16-11-2025,Debited,Swiggy,Food,250,52316
16-11-2025,Debited,Amazon,Shopping,2200,50116
17-11-2025,Debited,Swiggy,Food,250,49866
17-11-2025,Debited,Uber,Transport,120,49746
18-11-2025,Debited,Swiggy,Food,250,49496
18-11-2025,Debited,Uber,Transport,120,49376
19-11-2025,Debited,Swiggy,Food,250,49126
19-11-2025,Debited,Uber,Transport,120,49006
20-11-2025,Debited,Swiggy,Food,250,48756
20-11-2025,Debited,Uber,Transport,120,48636
21-11-2025,Debited,Swiggy,Food,250,48386
21-11-2025,Debited,Uber,Transport,120,48266
22-11-2025,Debited,Swiggy,Food,250,48016
22-11-2025,Debited,Bigbasket,Food,1800,46216
23-11-2025,Debited,Swiggy,Food,250,45966
23-11-2025,Debited,Amazon,Shopping,2200,43766
24-11-2025,Debited,Swiggy,Food,250,43516
24-11-2025,Debited,Uber,Transport,120,43396
25-11-2025,Debited,Swiggy,Food,250,43146
25-11-2025,Debited,Uber,Transport,120,43026
26-11-2025,Debited,Swiggy,Food,250,42776
26-11-2025,Debited,Uber,Transport,120,42656
27-11-2025,Debited,Swiggy,Food,250,42406
27-11-2025,Debited,Uber,Transport,120,42286
28-11-2025,Debited,Netflix,Entertainment,299,41987
28-11-2025,Debited,Spotify,Entertainment,299,41688
26-11-2025,Debited,Airtel,Utilities,799,40889
01-12-2025,Credited,Unknown,Others,45000,
03-12-2025,Debited,Rent,Others,12000,73889
04-12-2025,Debited,Swiggy,Food,250,73639
04-12-2025,Debited,Uber,Transport,120,73519
05-12-2025,Debited,Swiggy,Food,250,73269
05-12-2025,Debited,Uber,Transport,120,73149
06-12-2025,Debited,Swiggy,Food,250,72899
06-12-2025,Debited,Bigbasket,Food,1800,71099
07-12-2025,Debited,Swiggy,Food,250,70849
07-12-2025,Debited,Amazon,Shopping,2200,68649
08-12-2025,Debited,Swiggy,Food,250,68399
08-12-2025,Debited,Uber,Transport,120,68279
09-12-2025,Debited,Swiggy,Food,250,68029
09-12-2025,Debited,Uber,Transport,120,67909
10-12-2025,Debited,Swiggy,Food,250,67659
10-12-2025,Debited,Uber,Transport,120,67539
11-12-2025,Debited,Swiggy,Food,250,67289
11-12-2025,Debited,Uber,Transport,120,67169
12-12-2025,Debited,Swiggy,Food,250,66919
12-12-2025,Debited,Uber,Transport,120,66799
13-12-2025,Debited,Swiggy,Food,250,66549
13-12-2025,Debited,Bigbasket,Food,1800,64749
14-12-2025,Debited,Swiggy,Food,250,64499
14-12-2025,Debited,Amazon,Shopping,2200,62299
15-12-2025,Debited,Swiggy,Food,250,62049
15-12-2025,Debited,Uber,Transport,120,61929
16-12-2025,Debited,Swiggy,Food,250,61679
16-12-2025,Debited,Uber,Transport,120,61559
17-12-2025,Debited,Swiggy,Food,250,61309
17-12-2025,Debited,Uber,Transport,120,61189
18-12-2025,Debited,Swiggy,Food,250,60939
18-12-2025,Debited,Uber,Transport,120,60819
19-12-2025,Debited,Swiggy,Food,250,60569
19-12-2025,Debited,Uber,Transport,120,60449
20-12-2025,Debited,Swiggy,Food,250,60199
20-12-2025,Debited,Bigbasket,Food,1800,58399
21-12-2025,Debited,Swiggy,Food,250,58149
21-12-2025,Debited,Amazon,Shopping,2200,55949
22-12-2025,Debited,Swiggy,Food,250,55699
22-12-2025,Debited,Uber,Transport,120,55579
23-12-2025,Debited,Swiggy,Food,250,55329
23-12-2025,Debited,Uber,Transport,120,55209
24-12-2025,Debited,Swiggy,Food,250,54959
24-12-2025,Debited,Uber,Transport,120,54839
25-12-2025,Debited,Swiggy,Food,250,54589
25-12-2025,Debited,Uber,Transport,120,54469
26-12-2025,Debited,Swiggy,Food,250,54219
26-12-2025,Debited,Uber,Transport,120,54099
27-12-2025,Debited,Swiggy,Food,250,53849
27-12-2025,Debited,Bigbasket,Food,1800,52049
28-12-2025,Debited,Netflix,Entertainment,299,51750
28-12-2025,Debited,Spotify,Entertainment,299,51451
26-12-2025,Debited,Airtel,Utilities,799,50652
